,0
831,22.0
832,22.5
833,20.5
834,21.1
835,19.5
836,19.1
837,18.0
838,18.7
839,18.7
840,17.1
841,17.3
842,17.7
843,17.7
844,17.4
845,17.8
846,17.4
847,17.6
848,17.2
849,15.7
850,18.1
851,19.9
852,20.2
853,19.5
854,21.0
855,21.0
856,18.1
857,19.9
858,19.1
859,19.0
860,19.0
861,18.3
862,17.0
863,17.0
864,18.1
865,18.1
866,17.8
867,18.1
868,17.2
869,17.2
870,17.2
871,17.2
872,17.2
873,17.8
874,18.1
875,18.9
876,19.0
877,19.2
878,19.1
879,20.0
880,19.8
881,19.5
882,19.6
883,19.4
884,19.2
885,19.8
886,18.6
887,18.7
888,18.7
889,18.8
890,18.1
891,18.1
892,18.3
893,18.1
894,18.3
895,18.1
896,18.9
897,18.9
898,19.0
899,19.2
900,19.5
901,21.5
902,17.7
903,20.6
904,20.2
905,19.5
906,19.5
907,19.4
908,19.4
909,19.1
910,17.4
911,17.0
912,17.2
913,17.2
914,17.2
915,17.2
916,17.2
917,16.3
918,16.3
919,16.7
920,16.7
921,18.2
922,18.2
923,19.0
924,19.9
925,19.2
926,20.2
927,20.1
928,19.0
929,19.6
930,19.6
931,19.4
932,18.6
933,18.9
934,18.6
935,18.6
936,18.1
937,18.1
938,17.9
939,17.9
940,17.8
941,17.9
942,17.7
943,17.1
944,17.2
945,17.1
946,16.6
947,17.5
948,17.3
949,17.9
950,16.8
951,17.9
952,16.2
953,16.1
954,16.1
955,16.6
956,16.6
957,19.0
958,21.0
959,15.9
960,15.5
961,15.2
962,14.6
963,15.1
964,15.199999999999998
965,15.199999999999998
966,14.8
967,14.9
968,15.1
969,15.6
970,16.0
971,16.2
972,16.2
973,15.9
974,16.2
975,16.2
976,15.9
977,15.7
978,15.7
979,15.5
980,15.4
981,15.3
982,15.5
983,15.3
984,14.6
985,14.3
986,14.2
987,14.2
988,14.3
989,14.6
990,14.7
991,14.2
992,15.5
993,16.1
994,16.6
995,16.7
996,16.0
997,14.8
998,15.0
999,16.2
1000,16.1
1001,14.6
1002,16.1
1003,16.1
1004,14.8
1005,16.1
1006,16.2
1007,15.0
1008,14.1
1009,14.6
1010,14.1
1011,14.2
1012,14.0
1013,14.0
1014,14.2
1015,14.1
1016,14.8
1017,14.6
1018,14.8
1019,15.0
1020,15.2
1021,15.4
1022,15.6
1023,15.4
1024,15.3
1025,15.5
1026,16.7
1027,15.3
1028,15.5
1029,15.5
1030,15.7
1031,15.8
1032,15.2
1033,15.2
1034,15.300000000000002
1035,15.5
1036,15.3
1037,15.2
1038,15.3
1039,15.3
1040,14.5
1041,15.7
1042,15.9
1043,16.0
1044,15.9
1045,16.2
1046,16.2
1047,16.2
1048,16.0
1049,15.6
1050,15.7
1051,15.8
1052,15.9
1053,15.9
1054,15.9
1055,15.9
1056,15.2
1057,15.2
1058,15.1
1059,14.9
1060,14.9
1061,15.0
1062,15.1
1063,15.1
1064,15.7
1065,16.2
1066,16.7
1067,17.1
1068,16.9
1069,16.9
1070,18.6
1071,18.3
1072,18.6
1073,18.6
1074,18.5
1075,18.8
1076,19.1
1077,19.0
1078,18.1
1079,18.0
1080,17.4
1081,17.1
1082,17.1
1083,16.8
1084,16.8
1085,16.2
1086,15.7
1087,16.8
1088,15.4
1089,15.6
1090,16.2
1091,19.0
1092,21.0
1093,17.0
1094,18.1
1095,15.4
1096,15.7
1097,15.8
1098,16.2
1099,16.0
1100,16.0
1101,16.2
1102,16.2
1103,16.2
1104,16.2
1105,16.2
1106,16.2
1107,15.8
1108,15.9
1109,15.9
1110,15.3
