,A0
760,11910.8
761,20884.3
762,20755.5
763,22605.4
764,27311.5
765,8336.85
766,25667.3
767,3335.39
768,22221.4
769,9195.37
770,14010.5
771,19287.1
772,13917.5
773,32605.7
774,8742.17
775,25251.2
776,9565.74
777,22504.0
778,4133.13
779,4373.08
780,12155.8
781,11080.6
782,11056.1
783,10873.2
784,7874.87
785,2507.86
786,4627.77
787,32384.6
788,16282.5
789,29807.8
790,33841.2
791,23592.4
792,29688.7
793,13026.0
794,6828.72
795,27136.7
796,17022.4
797,23320.8
798,27668.2
799,14121.6
800,18609.3
801,19776.2
802,29272.4
803,18079.7
804,32149.3
805,15082.3
806,7945.18
807,25820.2
808,28888.2
809,26200.7
810,24545.4
811,5835.48
812,30493.2
813,21422.8
814,3090.52
815,9472.54
816,550.982
817,3699.99
818,22132.9
819,27094.7
820,15897.2
821,21466.1
822,25380.0
823,28297.5
824,9155.79
825,17683.1
826,28083.0
827,19910.8
828,18315.3
829,10862.6
830,25351.0
831,8097.44
832,5221.18
833,27291.8
834,6218.41
835,15197.1
836,32367.6
837,24158.2
838,31711.9
839,24834.9
840,959.239
841,15008.9
842,18612.6
843,7914.38
844,10800.0
845,21495.7
846,1323.7
847,4114.74
848,16356.5
849,33685.4
850,23494.0
851,29905.0
852,18499.7
853,18267.6
854,28731.5
855,2082.98
856,18699.8
857,29883.1
858,18874.3
859,13947.3
860,10999.0
861,19816.7
862,27522.2
863,32041.9
864,31928.4
865,18676.1
866,34598.0
867,22147.7
868,11546.5
869,5588.18
870,9055.62
871,21069.2
872,3300.26
873,19536.7
874,32559.0
875,33032.8
876,32438.9
877,33138.0
878,27038.1
879,11072.9
880,19231.5
881,17126.9
882,26939.6
883,22425.7
884,32860.0
885,7816.3
886,20020.9
887,22290.8
888,7653.44
889,24887.3
890,27581.4
891,7997.43
892,21993.1
893,22171.5
894,32448.8
895,6180.99
896,10539.0
897,21999.5
898,12535.1
899,18446.9
900,27510.2
901,17317.1
902,23933.7
903,24590.6
904,27371.2
905,30046.1
906,20703.5
907,23106.8
908,3922.43
909,7690.75
910,11582.6
911,32283.4
912,21471.9
913,23642.5
914,17719.8
915,32627.9
916,18020.5
917,17530.9
918,13895.8
919,6184.71
920,18877.8
921,34358.7
922,21652.9
923,18976.0
924,33088.0
925,10716.7
926,9360.32
927,10687.5
928,30503.3
929,18658.4
930,30132.8
931,12978.2
932,7762.56
933,30987.2
934,4340.1
935,8577.79
936,19326.9
937,12224.0
938,22488.2
939,4191.29
940,11815.3
941,9894.56
942,5992.36
943,18546.3
944,26344.4
945,16855.2
946,22921.1
947,8603.45
948,18797.3
949,5455.63
950,23272.3
951,27110.1
952,30563.3
953,32898.8
954,12508.2
955,12214.5
956,6347.41
957,16787.8
958,24972.5
959,7983.05
960,28888.7
961,9865.02
962,21926.9
963,24608.9
964,33425.3
965,13084.1
966,28301.8
967,8988.58
968,3461.68
969,25178.4
970,31878.4
971,16250.4
972,29557.4
973,13630.7
974,13019.7
975,7509.37
976,9707.04
977,1437.74
978,18581.9
979,8498.14
980,26711.7
981,35084.3
982,29665.5
983,12548.1
984,17061.1
985,16127.2
986,7184.0
987,7904.99
988,22154.1
989,3610.94
990,16106.1
991,2358.08
992,33582.4
993,9477.35
994,12121.1
995,22182.6
996,12674.0
997,3771.82
998,30102.2
999,31511.7
1000,27775.1
1001,30671.4
1002,19440.2
1003,16132.2
1004,6414.09
1005,21470.0
1006,18855.2
1007,18755.9
1008,7989.01
1009,32144.2
1010,31820.0
1011,10260.1
1012,14483.1
1013,21931.6
1014,13201.6
1015,25987.4
1016,28656.2
1017,27789.2
1018,14175.9
1019,33931.1
1020,9452.37
1021,34998.6
1022,10125.1
1023,26292.3
1024,10714.7
1025,16017.5
1026,30279.5
1027,28494.9
1028,22365.3
1029,25236.1
1030,22525.3
1031,23919.0
1032,17925.6
1033,22233.2
1034,12274.2
1035,15327.5
1036,20314.8
1037,7571.33
1038,22973.3
1039,14900.1
1040,29812.9
1041,18652.0
1042,12496.8
1043,15968.0
1044,6336.43
1045,3212.81
1046,24237.5
1047,34551.1
1048,3350.64
1049,30408.5
1050,33578.1
1051,8643.58
1052,9658.38
1053,2446.04
1054,18889.0
1055,21123.5
1056,21007.3
1057,10263.1
1058,2333.28
1059,15704.2
1060,33561.0
1061,19963.7
1062,2151.98
1063,14444.5
1064,18668.1
1065,31164.6
1066,16326.4
1067,2433.98
1068,20233.8
1069,6939.95
1070,10872.1
1071,22103.6
1072,13564.8
1073,16044.2
1074,20096.3
1075,29815.7
1076,14678.8
1077,28756.3
1078,32734.5
1079,36229.7
1080,21186.0
1081,31355.8
1082,18243.0
1083,32376.6
1084,26100.8
1085,12626.4
1086,34108.4
1087,12191.2
1088,4733.47
1089,26867.2
1090,29580.8
1091,32527.1
1092,25500.6
1093,19386.2
1094,17124.0
1095,16825.9
1096,24153.5
1097,11251.6
1098,22981.8
1099,18789.5
1100,13257.8
1101,33444.4
1102,15186.2
1103,32178.1
1104,3653.75
1105,32261.2
1106,31027.5
1107,17475.8
1108,27388.8
1109,34590.4
1110,33971.3
1111,20364.0
1112,20167.2
1113,33523.8
1114,31213.1
1115,23678.7
1116,32403.9
1117,15430.2
1118,31824.7
1119,10892.0
1120,15664.6
1121,13741.4
1122,32376.3
1123,21559.4
1124,4006.33
1125,24932.9
1126,28594.3
1127,26825.6
1128,8023.3
1129,33206.1
1130,5453.1
1131,23831.8
1132,19531.0
1133,9963.3
1134,21747.8
1135,9227.93
1136,29889.0
1137,24089.2
1138,9779.57
1139,29020.6
1140,20760.0
1141,33844.8
1142,30354.9
1143,31240.6
1144,21410.6
1145,4535.75
1146,24262.5
1147,10200.7
1148,28546.7
1149,22436.4
1150,6115.36
1151,9176.24
1152,30816.7
1153,5875.55
1154,13054.0
1155,31876.9
1156,14419.4
1157,2790.78
1158,19528.8
1159,31270.5
1160,3060.12
1161,14380.2
1162,23545.8
1163,21842.0
1164,6850.46
1165,22747.6
1166,30326.4
1167,10401.6
1168,12421.2
1169,32303.0
1170,30737.4
1171,17700.8
1172,22395.6
1173,31653.4
1174,7065.29
1175,19472.4
1176,24861.2
1177,12197.8
1178,28020.1
1179,11777.2
1180,26857.3
1181,17026.3
1182,32301.2
1183,18139.3
1184,4705.93
1185,9888.31
1186,26035.5
1187,5785.42
1188,26582.9
1189,23240.0
1190,18948.5
1191,25993.5
1192,15354.5
1193,25816.9
1194,15113.7
1195,12952.4
1196,2470.36
1197,34753.3
1198,29430.6
1199,25982.1
1200,10617.4
1201,13260.2
1202,25623.6
1203,3733.96
1204,4982.25
1205,8703.29
1206,9696.88
1207,28300.0
1208,19165.9
1209,31342.3
1210,24479.0
1211,30797.6
1212,21088.1
1213,3858.79
1214,2131.6
1215,33310.2
1216,9628.96
1217,31254.6
1218,8734.02
1219,25061.1
1220,19964.4
1221,16099.3
1222,10472.0
1223,20993.6
1224,6316.73
1225,18054.1
1226,6899.9
1227,26904.2
1228,6041.57
1229,19799.5
1230,16250.4
1231,24876.1
1232,10486.6
1233,4169.13
1234,6924.13
1235,9226.65
1236,28817.6
1237,35011.4
1238,19861.7
1239,11737.6
1240,4258.56
1241,24921.7
1242,10810.5
1243,11401.0
1244,23593.5
1245,8555.09
1246,27429.9
1247,29704.9
1248,33528.8
1249,20889.0
1250,11639.3
1251,32373.0
1252,34210.5
1253,18842.6
1254,19776.0
1255,19040.1
1256,20960.5
1257,32191.2
1258,4853.09
1259,31125.7
1260,9399.05
1261,16835.1
1262,12027.5
1263,23386.1
1264,5177.54
1265,34514.0
1266,34382.4
1267,18312.4
1268,1783.24
1269,22817.6
1270,14307.2
1271,10698.3
1272,30685.5
1273,3518.39
1274,8260.56
1275,20858.4
1276,34952.7
1277,29616.8
1278,32704.7
1279,32697.7
1280,20319.9
1281,3592.26
1282,8898.16
1283,10831.1
1284,15039.9
1285,30819.0
1286,29856.5
1287,29516.3
1288,20663.6
1289,15198.1
1290,33810.1
1291,25871.9
1292,12185.6
1293,32154.2
1294,13260.1
1295,26785.2
1296,13470.9
1297,7094.38
1298,18316.8
1299,23276.4
1300,15961.8
1301,13266.1
1302,14324.3
1303,11254.2
1304,3754.58
1305,28352.8
1306,14065.2
1307,10847.0
1308,27865.2
1309,30373.4
1310,27784.5
1311,19964.0
1312,23447.4
1313,29541.3
1314,14921.2
1315,31292.1
1316,27919.3
1317,19977.6
1318,1874.4
1319,22063.3
1320,14829.3
1321,8235.45
1322,33499.1
1323,10979.9
1324,5979.15
1325,29272.9
1326,8757.67
1327,15241.1
1328,32769.3
1329,16282.8
1330,25026.1
1331,5341.72
1332,11898.0
1333,18859.1
1334,21928.1
1335,21604.4
1336,10023.3
1337,12056.5
1338,7203.43
1339,15536.4
1340,6283.65
1341,9031.35
1342,9921.12
1343,20779.8
1344,19855.1
1345,1663.98
1346,3533.9
1347,14242.0
1348,29471.8
1349,18137.0
1350,19684.2
1351,7336.01
1352,30039.1
1353,28031.6
1354,28073.0
1355,20476.9
1356,26401.5
1357,28014.0
1358,31448.6
1359,26498.4
1360,8814.04
1361,30439.1
1362,27411.6
1363,25896.5
1364,13940.8
1365,12596.4
1366,29476.7
1367,31397.0
1368,13447.4
1369,8911.45
1370,23841.9
1371,12200.7
1372,8020.4
1373,20931.1
1374,14917.0
1375,8891.25
1376,26717.2
1377,32429.8
1378,28133.6
1379,30185.0
1380,13080.8
1381,30299.9
1382,12069.8
1383,16226.1
1384,9732.33
1385,9875.57
1386,27079.0
1387,17509.0
1388,26358.6
1389,17713.5
1390,33770.7
1391,14537.1
1392,8114.55
1393,9847.69
1394,22963.8
1395,29136.2
1396,1636.61
1397,4383.11
1398,10180.8
1399,12105.4
1400,2614.75
1401,7281.55
1402,10284.5
1403,9419.29
1404,34440.2
1405,8568.77
1406,3595.33
1407,10577.8
1408,24251.1
1409,21436.7
1410,23585.6
1411,3900.75
1412,32921.5
1413,19056.1
1414,26516.4
1415,33629.3
1416,17553.7
1417,10152.0
1418,21612.2
1419,5962.72
1420,14969.9
1421,14957.9
1422,16149.3
1423,10881.7
1424,12491.6
1425,27829.9
1426,23538.4
1427,11931.1
1428,31414.1
1429,31448.4
1430,17740.0
1431,19330.7
1432,16843.2
1433,25101.4
1434,2991.55
1435,13951.1
1436,28027.8
1437,21132.4
1438,21262.7
1439,6184.75
1440,26940.5
1441,15313.5
1442,10814.5
1443,34719.7
1444,23453.3
1445,25189.3
1446,27779.7
1447,18247.6
1448,29085.5
1449,26466.1
1450,14635.5
1451,12147.9
1452,6710.12
1453,12357.9
1454,29032.4
1455,2276.87
1456,19575.3
1457,8230.28
1458,23746.5
1459,19728.2
1460,8134.21
1461,12570.3
1462,22377.5
1463,24807.5
1464,34887.5
1465,11381.5
1466,13773.6
1467,31099.5
1468,22823.2
1469,33231.7
1470,30116.3
1471,18746.1
1472,17301.1
1473,16250.4
1474,25943.3
1475,8105.13
1476,29648.1
1477,4763.19
1478,24715.8
1479,19897.1
1480,6066.98
1481,16510.8
1482,3763.26
1483,14133.6
1484,11352.0
1485,30035.7
